SDATE,CGI,LNCEL_ID,LTE_RACH_ATTEMPTS,LTE_RACH_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_ATTEMPTS,LTE_RRC_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_COMPLETES,LTE_TRAFFIC_VOL,VOICE_RRC_CONN_REQ,ATTEMPT_NUM_CALL,RACH_MSG3_CONTENTION,UL_PRB_UTILISATION,CQI_CONFIRM,MCS_DL,MCS_UL,AVG_DELAY_DL_MS,DL_UE_DATA_BUFFER_AVG,UL_UE_DATA_BUFFER_AVG,PDCCH_CCE,CCE_BLK,UL_LOSS_RATE_QCI9,DL_LOSS_RATE_QCI9,AVG_PUSCH_RSSI_SINR,HO_RLF_PREP_ATT,HO_RLF_PREP_SUCC,DL_RLC_RETRR,UL_RLC_RETRR,PAGING_DISC_RRC,CELL_AVAIL,CSSR%,CELL_ACT_UE_AVG,CELL_ACT_UE_MAX,RRC_REEST_ATT,UL_BLER%,DL_BLER%,RACH_Setup_Completes_Rate%,CELL_LOAD_DL_PRB_UTILISATION,UL_LOSS_RATE_QCI9%,UL_LOSS_RATE_QCI1%,User_Tput_MEAN_UL(kbps),User_Tput_MEAN_DL(kbps),User_Tput_MAX_UL(kbps),User_Tput_MAX_DL(kbps),Drop_Call_Ratio(RLF%),IFP_NEW,WORST_RSSI,AVG_PUCCH_IFP1,AVG_PUSCH_IFP2,AVG_RSSI_PUCCH(RSSI1),AVG_RSSI_PUSCH(RSSI2)
9/3/2018,#,#,41,100,0,0,25,3,0,49,41,0,14.957,10.03,9.94,7,0.0007,0.1082,0.02,0,0,0,7.44,0,0,0,0,0,100,100,0.3,2,0,0.23,0,100,0.7,0,0,24,65,80,345,0,-115,0,-115,-116,0,0
9/3/2018 0:15,#,#,49,100,0,0,30,4,0,57,48,0.1,14.973,9.64,8.14,5,0.0008,0.1241,0.03,0,0,0,7.98,0,0,0.09,3.6,0,100,100,0.37,2,0,1.02,0,100,0.7,0,0,20,69,81,1071,0,-115,0,-115,-117,0,0
9/3/2018 0:30,#,#,59,100,0,0,38,6,0,73,58,0.1,14.954,9.78,10.15,10,0.0035,0.1968,0.03,0,0,0,7.9,0,0,0,0.43,0,100,100,0.55,3,0,0.53,0,100,0.7,0,0,27,77,111,633,0,-116,0,-116,-116,0,0
9/3/2018 0:45,#,#,29,100,0,0,20,2,0,40,29,0,14.984,8.78,9.96,8,0.0006,0.0713,0.01,0,0,0,8.03,0,0,0,0,0,100,100,0.25,2,0,0,0,100,0.7,0,0,14,34,72,356,0,-115,0,-115,-116,0,0
9/3/2018 1:00,#,#,35,100,0,0,23,4,0,45,35,0,14.944,9.23,9.75,5,0.0005,0.081,0.01,0,0,0,7.62,0,0,0,1.68,0,100,100,0.29,2,0,0.77,0,100,0.7,0,0,15,46,109,631,0,-115,0,-115,-116,0,0
9/3/2018 1:15,#,#,33,100,0,0,22,4,0,44,33,0,14.973,9.41,10.36,6,0.0008,0.1105,0.01,0,0,0,7.96,0,0,0,0,0,100,100,0.28,2,0,0.33,0,100,0.7,0,0,17,49,106,643,0,-116,0,-116,-117,0,0
9/3/2018 1:30,#,#,30,100,0,0,21,2,0,42,30,0,14.954,9.85,11.03,6,0.0007,0.0806,0.01,0,0,0,8.19,0,0,0,0.76,0,100,100,0.27,2,0,0.24,0,100,0.7,0,0,30,70,103,500,0,-115,0,-115,-116,0,0
9/3/2018 1:45,#,#,27,100,0,0,17,3,0,34,27,0,14.951,9.79,10.19,9,0.0009,0.081,0.01,0,0,0,8.09,0,0,0,0,0,100,100,0.22,1,0,0.29,0,100,0.7,0,0,18,46,109,603,0,-115,0,-115,-116,0,0
9/3/2018 2:00,#,#,31,100,0,0,22,1,0,44,31,0,14.985,9.04,9.49,12,0.0011,0.0864,0.01,0,0,0,7.18,0,0,0,0,0,100,100,0.26,2,0,0.43,0,100,0.7,0,0,15,34,116,636,0,-115,0,-115,-116,0,0
9/3/2018 2:15,#,#,30,100,0,0,25,4,0,50,30,0,14.985,10.17,9.81,8,0.0011,0.1107,0.02,0,0,0,7.5,0,0,0,0,0,100,100,0.31,2,0,0.21,0,100,0.7,0,0,24,70,119,628,0,-116,0,-116,-116,0,0
9/3/2018 2:30,#,#,29,100,0,0,20,3,0,40,29,0,14.946,9.92,8.69,6,0.0008,0.1031,0.01,0,0,0,8.77,0,0,0,0,0,100,100,0.28,2,0,0,0,100,0.7,0,0,18,54,105,632,0,-115,0,-115,-117,0,0
9/3/2018 2:45,#,#,32,100,0,0,23,3,0,41,32,0,14.964,9.43,8.51,10,0.0012,0.0933,0.01,0,0,0,7.85,0,0,0,0,0,100,100,0.26,2,0,0.24,0,100,0.7,0,0,17,56,110,600,0,-115,0,-115,-117,0,0
9/3/2018 3:00,#,#,40,100,0,0,26,3,0,52,40,0,14.991,9.8,10.34,5,0.0006,0.1114,0.02,0,0,0,7.54,0,0,0.15,0.98,0,100,100,0.31,2,0,0.21,0.15,100,0.7,0,0,17,54,101,590,0,-115,0,-115,-116,0,0
9/3/2018 3:15,#,#,34,100,0,0,23,3,0,45,34,0,14.988,8.7,9.34,8,0.0011,0.1232,0.02,0,0,0,7.22,0,0,0,3.98,0,100,100,0.32,3,0,0.96,0.15,100,0.7,0,0,16,60,116,619,0,-115,0,-115,-116,0,0
9/3/2018 3:30,#,#,45,100,0,0,27,4,0,47,44,0,14.947,9.2,10.18,9,0.0011,0.1053,0.02,0,0,0,8.47,0,0,0,0.9,0,100,100,0.32,3,0,0.21,0,100,0.7,0,0,14,40,69,365,0,-115,0,-115,-116,0,0
9/3/2018 3:45,#,#,57,100,0,0,26,3,0,48,53,0,14.921,8.92,8.97,10,0.001,0.101,0.02,0,0,0,7.97,0,0,0,0.97,0,100,100,0.31,2,0,0.21,0,100,0.7,0,0,14,36,80,494,0,-115,0,-115,-117,0,0
9/3/2018 4:00,#,#,68,100,0,0,33,4,0,65,67,0,14.984,9.62,10.11,9,0.0014,0.142,0.03,0,0,0,7.99,0,0,0,0.22,0,100,100,0.45,3,1,0.16,0,100,0.7,0,0,16,46,97,634,0,-116,0,-116,-116,0,0
9/3/2018 4:15,#,#,72,100,0,0,43,7,0,81,69,0.1,14.935,9.22,9.34,9,0.0017,0.1414,0.04,0,0,0,7.71,0,0,0,3.74,0,100,100,0.53,4,0,1.14,0.1,100,0.7,0,0,17,38,108,606,0,-115,0,-115,-116,0,0
9/3/2018 4:30,#,#,73,100,0,0,38,4,0,65,72,0,14.904,9.41,10.86,7,0.0012,0.1551,0.03,0,0,0,8.79,0,0,0,0.55,0,100,100,0.45,4,1,0.41,0,100,0.7,0,0,15,51,120,668,0,-115,0,-115,-116,0,0
9/3/2018 4:45,#,#,66,100,0,0,42,6,0,79,65,0.1,14.957,11.35,8.32,8,0.0032,0.1917,0.04,0,0,0,9.15,0,0,0,0.58,0,100,100,0.58,3,0,0.23,0,100,0.7,0,0,18,156,78,1980,0,-115,0,-115,-117,0,0
9/3/2018 5:00,#,#,49,100,0,0,28,4,0,53,47,0,14.972,10.38,10.33,6,0.0009,0.1241,0.02,0,0,0,7.43,0,0,0.13,1.18,0,100,100,0.32,2,0,1.14,0.12,100,0.7,0,0,21,58,114,628,0,-116,0,-116,-117,0,0
9/3/2018 5:15,#,#,47,100,0,0,20,2,0,39,46,0,14.921,9.07,9.89,10,0.001,0.0796,0.02,0,0,0,7.92,0,0,0,1.09,0,100,100,0.25,2,0,0.97,0,100,0.7,0,0,14,35,107,633,0,-115,0,-115,-116,0,0
9/3/2018 5:30,#,#,65,100,0,0,30,6,0,54,62,0,14.923,7.7,8.47,15,0.0011,0.1258,0.02,0,0,0,7.29,0,0,0,1.12,0,100,100,0.34,2,0,0.79,0,100,0.7,0,0,8,15,18,126,0,-115,0,-115,-117,0,0
9/3/2018 5:45,#,#,59,100,0,0,31,4,0,59,57,0.7,14.911,8.63,8.35,4,0.0008,0.1543,0.04,0,0,0,8.29,0,0,0.08,0.71,0,100,100,0.52,3,0,0.49,0,100,0.7,0,0,248,18,2470,293,0,-115,0,-115,-116,0,0
9/3/2018 6:00,#,#,61,100,0,0,32,8,0,59,59,0.1,14.474,7.97,6,10,0.0016,0.1139,0.05,0,0,0,2.38,0,0,0.21,8.89,0,100,100,0.34,2,1,3.57,0.22,100,0.7,0,0,17,13,65,109,0,-115,0,-115,-116,0,0
9/3/2018 6:15,#,#,60,100,0,0,25,5,0,45,59,0.1,14.669,8.62,8.91,12,0.0024,0.1468,0.03,0,0,0,7.75,0,0,0.1,3.9,0,100,100,0.35,2,1,1.62,0,100,0.7,0,0,16,15,145,83,0,-115,0,-115,-116,0,0
9/3/2018 6:30,#,#,48,100,0,0,30,9,0,53,39,0.1,14.393,10.65,9.72,8,0.0015,0.0744,0.04,0,0,0,7.2,0,0,0.55,5.42,0,100,100,0.39,2,0,2.54,0.08,100,0.7,0,0,31,130,425,4544,0,-116,0,-116,-117,0,0
9/3/2018 6:45,#,#,77,100,0,0,35,7,0,64,75,0.1,14.866,9.31,7.56,9,0.0024,0.1503,0.04,0,0,0,6.41,0,0,0.45,6.68,0,100,100,0.48,3,1,1.07,0.19,100,0.7,0,0,23,69,222,2240,0,-115,0,-115,-116,0,0
9/3/2018 7:00,#,#,28,100,0,0,14,3,0,26,28,0,14.935,9.85,9.54,10,0.0017,0.0937,0.02,0,0,0,7.4,0,0,0.29,8.45,0,100,100,0.3,2,0,1.87,0,100,0.8,0,0,21,32,169,459,0,-115,0,-115,-116,0,0
9/3/2018 7:15,#,#,64,100,0,0,25,4,0,47,59,0.1,14.849,15.06,9.38,212,0.0054,0.1404,0.08,0,0,0,7.57,0,0,0.3,1.7,0,100,96.15,0.38,3,1,1.39,0.13,100,1.1,0,0,29,1566,253,20632,0,-115,0,-115,-117,0,0
9/3/2018 7:30,#,#,47,100,0,0,27,9,0,42,46,0.1,14.638,8.74,7.22,7,0.0013,0.1185,0.05,0,0,0,6.01,0,0,1.13,15.37,0,100,103.85,0.38,2,1,2.85,0.15,100,0.8,0,0,10,104,148,2084,0,-114,0,-114,-116,0,0
9/3/2018 7:45,#,#,27,100,0,0,15,7,0,26,27,0.1,14.611,14.33,10.02,8,0.0022,0.0737,0.04,0,0,0,9,0,0,0.57,1.77,0,100,100,0.22,4,0,2.29,0,100,0.8,0,0,45,360,387,2880,0,-116,0,-116,-117,0,0
9/3/2018 8:00,#,#,25,100,0,0,10,3,0,18,24,0,14.853,8.78,7.84,9,0.0011,0.073,0.01,0,0,0,8.13,0,0,0,3.95,0,100,100,0.19,2,0,2.43,0,100,0.8,0,0,10,78,49,1230,0,-114,0,-114,-116,0,0
9/3/2018 8:15,#,#,30,100,0,0,20,5,0,30,30,0,14.605,9.35,9.12,10,0.0014,0.0584,0.01,0,0,0,5.57,0,0,0,6.21,0,100,100,0.16,1,1,3.25,0.2,100,0.8,0,0,13,48,54,380,0,-115,0,-115,-116,0,0
9/3/2018 8:30,#,#,69,100,0,0,38,7,0,53,67,0.1,14.551,10.05,9.96,14,0.0043,0.1879,0.04,0,0,0,7.08,0,0,0,3.52,0,100,100,0.5,4,0,2.13,0.09,100,0.8,0,0,14,52,105,1011,0,-115,0,-115,-116,0,0
9/3/2018 8:45,#,#,12,100,0,0,8,4,0,11,11,0,14.519,7.85,9.16,8,0.0003,0.0326,0.01,0,0,0,5.09,0,0,0,7.44,0,100,100,0.08,1,0,3.82,0,100,0.8,0,0,6,9,27,48,0,-115,0,-115,-117,0,0
9/3/2018 9:00,#,#,17,100,0,0,10,2,0,16,17,0,14.871,7.83,10.71,13,0.0006,0.037,0.01,0,0,0,7.26,0,0,0.57,7.57,0,100,100,0.11,2,0,2.29,0.3,100,0.8,0,0,9,20,35,80,0,-115,0,-115,-116,0,0
9/3/2018 9:15,#,#,30,100,0,0,13,4,0,22,30,0,14.658,5.51,6.66,11,0.001,0.0639,0.05,0,0.53,0,3.14,0,0,5.94,15.31,0,100,100,0.28,3,0,4.14,0,100,0.8,0.53,0,4,10,34,78,0,-115,0,-115,-116,0,0
9/3/2018 9:30,#,#,37,100,0,0,19,4,0,30,35,0,14.639,8.7,8.26,11,0.0009,0.0764,0.02,0,0,0,5.2,0,0,0.82,6.25,0,100,100,0.19,2,0,1.96,0,100,0.8,0,0,10,10,80,106,0,-115,0,-115,-116,0,0
9/3/2018 9:45,#,#,37,97.2973,0,0,12,3,0,21,33,0,14.804,7.46,7.7,25,0.0012,0.0858,0.01,0,0,0,4.66,0,0,0.38,5.71,0,100,100,0.19,2,1,3.49,0,97.3,0.8,0,0,7,8,24,56,0,-114,0,-114,-116,0,0
9/3/2018 10:00,#,#,58,100,0,0,27,4,0,53,55,0.1,14.982,7.98,16.62,4,0.0024,0.1893,0.11,0,0.09,0.01,15.2,0,0,0,0.04,0,100,100,0.64,3,0,0.34,0,100,0.8,0.09,0.23,10,15,65,103,0,-116,0,-116,-116,0,0
9/3/2018 10:15,#,#,54,100,0,0,14,3,0,24,51,0.8,14.933,25.67,12.88,39,0.0385,0.2986,0.26,0,0,0,16.18,0,0,0.09,0.03,0,100,100,0.95,2,0,0.26,0,100,3.9,0,0,68,6555,1197,55436,0,-116,0,-116,-116,0,0
9/3/2018 10:30,#,#,28,100,0,0,10,2,0,15,28,0.2,14.947,24.85,10.35,37,0.0077,0.1295,0.07,0,0,0,14.09,0,0,0.36,0.36,0,100,100,0.38,2,0,0.94,0,100,1.5,0,0,52,4891,580,32681,0,-115,0,-115,-116,0,0
9/3/2018 10:45,#,#,11,100,0,0,8,2,0,9,10,0,14.318,6.93,7.16,39,0.0009,0.0385,0.01,0,0,0,3.21,0,0,1.26,13.64,0,100,100,0.08,2,0,2.52,0,100,0.8,0,0,1,4,2,12,0,-114,0,-114,-116,0,0
9/3/2018 11:00,#,#,31,100,0,0,12,3,0,16,30,0,14.895,5.76,9.59,11,0.0014,0.1298,0.02,0,0,0,7.86,0,0,0.22,2.56,0,100,100,0.35,3,0,1.95,0,100,0.8,0,0,7,16,114,78,0,-115,0,-115,-116,0,0
9/3/2018 11:15,#,#,33,100,0,0,15,4,0,21,33,0.1,14.874,4.76,12.87,12,0.0006,0.1619,0.03,0,0,0,9.51,0,0,0,11.56,0,100,100,0.42,3,0,1.77,0,100,0.8,0,0,5,11,78,80,0,-115,0,-115,-116,0,0
9/3/2018 11:30,#,#,10,100,0,0,8,2,0,8,10,0,14.701,8.07,9.4,32,0.0004,0.0288,0.01,0,0,0,3.31,0,0,1.97,18.84,0,100,100,0.05,2,0,7.26,0,100,0.8,0,0,3,4,10,15,0,-115,0,-115,-116,0,0
9/3/2018 11:45,#,#,15,100,0,0,10,3,0,10,14,0,14.528,8.04,9.03,29,0.0008,0.024,0.01,0,0,0,2.86,0,0,0.43,12.9,0,100,100,0.09,2,0,6.49,0,100,0.8,0,0,4,6,24,24,0,-115,0,-115,-116,0,0
9/3/2018 12:00,#,#,11,100,0,0,7,1,0,9,11,0,14.434,7.28,9.04,27,0.0005,0.0402,0.01,0,0,0,4.52,0,0,0,8.33,0,100,100,0.08,1,0,3.09,0.68,100,0.8,0,0,4,7,24,25,0,-115,0,-115,-117,0,0
9/3/2018 12:15,#,#,10,100,0,0,5,2,0,5,10,0,14.745,7.38,7.9,34,0.0005,0.0306,0,0,0,0,5.28,0,0,0,5.77,0,100,100,0.08,1,0,1.8,0,100,0.8,0,0,2,4,7,9,0,-114,0,-114,-117,0,0
9/3/2018 12:30,#,#,29,100,0,0,15,3,0,13,28,0,14.809,6.54,7.74,16,0.0011,0.0823,0.02,0,0,0,5.56,0,0,2.02,8.51,0,100,100,0.3,2,0,1.99,0,100,0.8,0,0,5,4,22,40,0,-114,0,-114,-117,0,0
9/3/2018 12:45,#,#,15,100,0,0,9,2,0,8,15,0,14.828,6.86,8.22,31,0.0007,0.036,0.01,0,0,0,5.87,0,0,0.4,7.23,0,100,100,0.11,2,0,3.63,0,100,0.8,0,0,5,5,19,12,0,-114,0,-114,-116,0,0
9/3/2018 13:00,#,#,20,100,0,0,13,4,0,17,20,0,14.622,8.78,8.04,11,0.001,0.0632,0.01,0,0,0,7.33,0,0,0.17,6.7,0,100,100,0.18,2,0,2.05,0,100,0.8,0,0,11,23,44,199,0,-115,0,-115,-116,0,0
9/3/2018 13:15,#,#,22,100,0,0,8,2,0,8,22,0,14.917,3.61,12.54,27,0.0006,0.0714,0.02,0,0,0,7.65,0,0,0,23.66,0,100,100,0.24,1,3,1.49,0.14,100,0.8,0,0,4,4,18,12,0,-115,0,-115,-116,0,0
9/3/2018 13:30,#,#,21,100,0,0,12,5,0,12,21,0,14.835,3.7,15.06,22,0.0006,0.0447,0.03,0,0,0,9.1,1,1,0,17.95,0,100,100,0.23,2,0,2.24,0,100,0.8,0,0,6,5,19,13,0,-115,0,-115,-117,0,0
9/3/2018 13:45,#,#,62,100,0,0,34,8,0,38,62,0.2,14.629,10.17,9.62,6,0.0026,0.1972,0.06,0,0,0,9.44,0,0,0,2.42,0,100,100,0.62,3,1,1.06,0.08,100,0.8,0,0,16,169,402,7037,0,-115,0,-115,-116,0,0
9/3/2018 14:00,#,#,41,100,0,0,21,4,0,24,39,0.1,14.424,8.61,7.17,9,0.0023,0.1267,0.04,0,0,0,4.19,0,0,1.85,9.22,0,100,100,0.31,2,0,3.92,0.22,100,0.8,0,0,13,16,114,190,0,-114,0,-114,-116,0,0
9/3/2018 14:15,#,#,73,100,0,0,44,10,0,61,70,0.1,14.484,8.19,7.8,14,0.0033,0.2566,0.06,0,0,0,4.25,0,0,0.87,19.94,0,100,100,0.54,3,0,4.14,0.29,100,0.8,0,0,13,15,81,135,0,-116,0,-116,-116,0,0
9/3/2018 14:30,#,#,117,100,0,0,57,8,0,87,115,0.1,14.834,8.96,7.8,14,0.0079,0.5159,0.06,0,0,0,9.4,0,0,1.43,1.24,0,100,100,1.22,3,1,0.82,0.06,100,0.8,0,0,11,24,79,733,0,-115,0,-115,-116,0,0
9/3/2018 14:45,#,#,97,100,0,0,37,5,0,62,83,0.1,14.957,8.94,8.8,12,0.0041,0.251,0.04,0,0,0,8.92,0,0,0.12,4.02,0,100,100,0.68,4,1,1.18,0,100,0.8,0,0,13,33,193,412,0,-115,0,-115,-116,0,0
9/3/2018 15:00,#,#,78,97.4359,0,0,35,8,0,64,73,0.1,14.847,8.25,9.05,13,0.0038,0.2755,0.04,0,0,0,7.51,0,0,0.07,5.94,0,100,100,0.59,3,6,1.3,0.18,97.44,0.8,0,0,7,13,79,117,0,-114,0,-114,-117,0,0
9/3/2018 15:15,#,#,88,98.8636,0,0,35,5,0,67,85,0.1,14.943,8.73,7.5,15,0.0053,0.2908,0.04,0,0,0,6.62,2,2,0.08,5.32,0,100,100,0.65,3,6,1.03,0.09,98.86,0.8,0,0,10,49,151,966,0,-115,0,-115,-116,0,0
9/3/2018 15:30,#,#,94,100,0,0,44,9,0,85,93,0.1,14.946,8.32,7.33,20,0.0072,0.3976,0.05,0,0,0,7.35,0,0,0.06,2.99,0,100,100,0.94,3,0,1.4,0,100,0.8,0,0,6,7,57,110,0,-115,0,-115,-117,0,0
9/3/2018 15:45,#,#,97,97.9381,0,0,39,4,0,72,90,0.1,14.958,8.36,8.34,21,0.0049,0.285,0.03,0,0,0,8.05,0,0,0.09,0.23,0,100,100,0.73,2,1,0.45,0,97.94,0.8,0,0,8,10,72,102,0,-115,0,-115,-116,0,0
9/3/2018 16:00,#,#,86,100,0,0,40,8,0,81,83,0.1,14.904,8.38,7.8,18,0.0051,0.2844,0.04,0,0,0,7.17,0,0,0.15,3.68,0,100,100,0.66,4,0,1.97,0,100,0.8,0,0,8,13,48,118,0,-116,0,-116,-116,0,0
9/3/2018 16:15,#,#,68,100,0,0,33,7,0,61,65,0.1,14.844,8.27,8.07,12,0.0028,0.1821,0.04,0,0,0,7.33,0,0,0.08,6.64,0,100,100,0.59,4,0,1.73,0.09,100,0.8,0,0,10,21,59,231,0,-115,0,-115,-116,0,0
9/3/2018 16:30,#,#,22,100,0,0,13,5,0,23,22,0.1,14.808,14.02,16.42,4,0.0013,0.0876,0.07,0,0,0,14.53,0,0,0.34,0.6,0,100,100,0.27,2,0,1.18,0,100,0.8,0,0,42,129,71,2090,0,-116,0,-116,-116,0,0
9/3/2018 16:45,#,#,38,100,0,0,19,6,0,26,38,0.1,14.603,9.16,7.69,11,0.0025,0.1136,0.02,0,0,0,4.93,0,0,0,6.61,0,100,100,0.29,2,0,4.55,0,100,0.8,0,0,19,67,128,1850,0,-115,0,-115,-117,0,0
9/3/2018 17:00,#,#,17,100,0,0,9,4,0,11,17,0,14.566,8.44,7.81,8,0.0008,0.0293,0.01,0,0,0,5.91,0,0,0.77,4.05,0,100,100,0.11,2,0,2.64,0,100,0.8,0,0,13,20,50,99,0,-114,0,-114,-116,0,0
9/3/2018 17:15,#,#,80,100,0,0,45,8,0,56,78,0.1,14.904,8.14,8.59,10,0.0031,0.2586,0.05,0,0,0,7.95,0,0,0.06,4.43,0,100,100,0.73,3,0,1.09,0.14,100,0.8,0,0,6,9,45,97,0,-115,0,-115,-116,0,0
9/3/2018 17:30,#,#,47,100,0,0,31,6,0,33,47,0.1,14.75,8.55,8,10,0.0017,0.1357,0.03,0,0,0,6.4,0,0,0,4.29,0,100,100,0.36,2,0,1.41,0.39,100,0.8,0,0,9,33,82,928,0,-115,0,-115,-116,0,0
9/3/2018 17:45,#,#,16,100,0,0,9,2,0,13,16,0,14.753,8.57,10.71,7,0.0008,0.053,0.01,0,0,0,8.27,0,0,0,3.01,0,100,100,0.19,2,0,1.47,0,100,0.8,0,0,10,17,54,53,0,-115,0,-115,-116,0,0
