SDATE,CGI,LNCEL_ID,LTE_RACH_ATTEMPTS,LTE_RACH_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_ATTEMPTS,LTE_RRC_SETUP_COMPLETES_RATE,LTE_RRC_SETUP_COMPLETES,LTE_TRAFFIC_VOL,VOICE_RRC_CONN_REQ,ATTEMPT_NUM_CALL,RACH_MSG3_CONTENTION,UL_PRB_UTILISATION,CQI_CONFIRM,MCS_DL,MCS_UL,AVG_DELAY_DL_MS,DL_UE_DATA_BUFFER_AVG,UL_UE_DATA_BUFFER_AVG,PDCCH_CCE,CCE_BLK,UL_LOSS_RATE_QCI9,DL_LOSS_RATE_QCI9,AVG_PUSCH_RSSI_SINR,HO_RLF_PREP_ATT,HO_RLF_PREP_SUCC,DL_RLC_RETRR,UL_RLC_RETRR,PAGING_DISC_RRC,CELL_AVAIL,CSSR%,CELL_ACT_UE_AVG,CELL_ACT_UE_MAX,RRC_REEST_ATT,UL_BLER%,DL_BLER%,RACH_Setup_Completes_Rate%,CELL_LOAD_DL_PRB_UTILISATION,UL_LOSS_RATE_QCI9%,UL_LOSS_RATE_QCI1%,User_Tput_MEAN_UL(kbps),User_Tput_MEAN_DL(kbps),User_Tput_MAX_UL(kbps),User_Tput_MAX_DL(kbps),Drop_Call_Ratio(RLF%),IFP_NEW,WORST_RSSI,AVG_PUCCH_IFP1,AVG_PUSCH_IFP2,AVG_RSSI_PUCCH(RSSI1),AVG_RSSI_PUSCH(RSSI2)
9/3/2018,#,#,275,100,0,0,152,22,0,230,273,0.5,14.072,12.89,8.07,12,0.0177,1.2848,0.2,0,0,0,8.99,0,0,0.29,2.42,0,100,99.57,3.81,7,3,0.85,0.04,100,1,0,0,19,242,524,18319,0,-115,-113,-115,-117,-113,-116
9/3/2018 0:15,#,#,249,100,0,0,126,17,0,194,246,0.3,14.079,14.01,8.49,17,0.0094,1.0467,0.15,0,0,0,9.97,0,0,0.01,1,0,100,100,3.34,7,3,0.32,0.03,100,1,0,0,12,413,130,24661,0,-116,-113,-116,-117,-113,-116
9/3/2018 0:30,#,#,268,100,0,0,135,18,0,203,264,0.3,13.841,7.72,7.58,7,0.0051,1.0755,0.13,0,0,0,8.9,0,0,0.1,2.09,0,100,100,3.13,6,4,0.38,0.08,100,0.8,0,0,10,11,61,964,0,-115,-113,-115,-116,-113,-116
9/3/2018 0:45,#,#,262,100,0,0,133,18,0,207,254,0.3,13.614,7.76,7.46,8,0.0048,0.9554,0.13,0,0,0,9.61,0,0,0.3,2.5,0,100,100,3.04,7,3,0.48,0.03,100,0.8,0,0,9,8,91,987,0,-116,-113,-116,-116,-113,-116
9/3/2018 1:00,#,#,269,100,0,0,126,18,0,192,268,0.3,13.645,7.81,8.66,6,0.0047,0.9319,0.13,0,0,0,9.77,0,0,0.02,2.66,0,100,100,3.02,7,5,0.47,0.03,100,0.8,0,0,9,12,65,1115,0,-115,-113,-115,-116,-113,-116
9/3/2018 1:15,#,#,290,100,0,0,145,20,0,216,289,0.3,13.528,12.96,8.48,12,0.0079,0.8253,0.13,0,0,0,8.06,0,0,0.04,1.6,0,100,100,2.52,6,5,0.66,0.02,100,0.9,0,0,21,322,224,7331,0,-115,-113,-115,-116,-113,-116
9/3/2018 1:30,#,#,258,100,0,0,126,18,0,180,256,0.2,13.243,8.06,8.7,7,0.0036,0.6021,0.1,0,0,0,8.38,0,0,0,3.03,0,100,100,1.98,6,6,0.75,0.07,100,0.8,0,0,17,33,61,1541,0,-116,-113,-116,-116,-113,-116
9/3/2018 1:45,#,#,165,100,0,0,99,15,0,138,162,0.1,13.075,7.48,8.5,13,0.0042,0.3948,0.07,0,0,0,7.92,0,0,0,2.44,0,100,100,1.6,6,1,0.32,0.05,100,0.8,0,0,16,6,71,46,0,-115,-112,-115,-116,-112,-116
9/3/2018 2:00,#,#,178,100,0,0,104,14,0,147,177,0.2,13.125,8.09,8.97,6,0.0025,0.3208,0.09,0,0,0,7.73,0,0,0.09,6.74,0,100,100,1.48,5,3,1,0.04,100,0.8,0,0,26,59,613,3610,0,-116,-113,-116,-116,-113,-116
9/3/2018 2:15,#,#,212,100,0,0,118,19,0,193,210,0.2,13.388,7.99,8.99,9,0.0027,0.4772,0.08,0,0,0,8.49,0,0,0,1.46,0,100,100,1.7,4,2,0.52,0,100,0.8,0,0,14,12,79,172,0,-116,-113,-116,-116,-113,-116
